,0,1,2,3,4,5,6,7,8,9,10,11
0,--,FSD,SSD,FSD,FSD,--,--,--,--,FSD,FSD,SSD
1,--,--,--,--,FSD,--,--,--,--,FSD,FSD,--
2,--,FSD,--,FSD,FSD,--,--,--,--,FSD,FSD,FSD
3,--,SSD,--,--,SSD,--,--,--,--,SSD,FSD,--
4,--,--,--,--,--,--,--,--,--,--,--,--
5,SSD,SSD,SSD,FSD,SSD,--,--,--,--,SSD,FSD,FSD
6,FSD,FSD,FSD,FSD,FSD,FSD,--,SSD,--,FSD,FSD,FSD
7,FSD,FSD,FSD,FSD,FSD,--,--,--,--,FSD,FSD,FSD
8,FSD,FSD,FSD,FSD,FSD,FSD,FSD,SSD,--,FSD,FSD,FSD
9,--,--,--,--,FSD,--,--,--,--,--,FSD,--
10,--,--,--,--,SSD,--,--,--,--,--,--,--
11,--,SSD,--,FSD,SSD,--,--,--,--,SSD,FSD,--
