品牌,维度,情感,总计,比例
ALBD,保障,消极,278,0.12996727442730246
ALBD,保障,中性,271,0.12669471715755026
ALBD,保障,积极,1590,0.7433380084151473
ALBD,信息安全性,消极,25,0.7352941176470589
ALBD,信息安全性,中性,3,0.08823529411764706
ALBD,信息安全性,积极,6,0.17647058823529413
ALBD,响应及时性,消极,59,0.21851851851851853
ALBD,响应及时性,中性,8,0.02962962962962963
ALBD,响应及时性,积极,203,0.7518518518518519
ALBD,外观,消极,107,0.06912144702842377
ALBD,外观,中性,442,0.28552971576227393
ALBD,外观,积极,999,0.6453488372093024
ALBD,外部,消极,222,0.054252199413489736
ALBD,外部,中性,819,0.2001466275659824
ALBD,外部,积极,3051,0.7456011730205279
ALBD,服务专业性,消极,348,0.18143899895724713
ALBD,服务专业性,中性,294,0.15328467153284672
ALBD,服务专业性,积极,1276,0.6652763295099061
ALBD,沟通有效性,消极,109,0.1879310344827586
ALBD,沟通有效性,中性,70,0.1206896551724138
ALBD,沟通有效性,积极,401,0.6913793103448276
ALBD,牌证,消极,37,0.8222222222222222
ALBD,牌证,中性,7,0.15555555555555556
ALBD,牌证,积极,1,0.022222222222222223
ALBD,精细,消极,330,0.11611541168191415
ALBD,精细,中性,481,0.16924700914848698
ALBD,精细,积极,2031,0.7146375791695989
ALBD,耐久,消极,64,0.40764331210191085
ALBD,耐久,中性,16,0.10191082802547771
ALBD,耐久,积极,77,0.49044585987261147
ALBD,舒适,消极,245,0.055834092980856884
ALBD,舒适,中性,1203,0.27415679124886055
ALBD,舒适,积极,2940,0.6700091157702825
ALBD,补偿合理性,消极,54,0.7105263157894737
ALBD,补偿合理性,中性,9,0.11842105263157894
ALBD,补偿合理性,积极,13,0.17105263157894737
AND,保障,消极,118,0.05057865409344192
AND,保障,中性,241,0.10330047149592798
AND,保障,积极,1974,0.8461208744106301
AND,信息安全性,消极,8,0.47058823529411764
AND,信息安全性,中性,2,0.11764705882352941
AND,信息安全性,积极,7,0.4117647058823529
AND,响应及时性,消极,13,0.03857566765578635
AND,响应及时性,中性,2,0.005934718100890208
AND,响应及时性,积极,322,0.9554896142433235
AND,外观,消极,55,0.030916245081506463
AND,外观,中性,314,0.1765036537380551
AND,外观,积极,1410,0.7925801011804384
AND,外部,消极,74,0.018132810585640775
AND,外部,中性,872,0.2136731193334967
AND,外部,积极,3135,0.7681940700808625
AND,服务专业性,消极,159,0.07759882869692533
AND,服务专业性,中性,240,0.1171303074670571
AND,服务专业性,积极,1650,0.8052708638360175
AND,沟通有效性,消极,30,0.043668122270742356
AND,沟通有效性,中性,82,0.11935953420669577
AND,沟通有效性,积极,575,0.8369723435225619
AND,牌证,消极,8,0.5333333333333333
AND,牌证,中性,4,0.26666666666666666
AND,牌证,积极,3,0.2
AND,精细,消极,155,0.05254237288135593
AND,精细,中性,357,0.12101694915254237
AND,精细,积极,2438,0.8264406779661017
AND,耐久,消极,96,0.38247011952191234
AND,耐久,中性,28,0.11155378486055777
AND,耐久,积极,127,0.5059760956175299
AND,舒适,消极,109,0.05105386416861827
AND,舒适,中性,591,0.27681498829039813
AND,舒适,积极,1435,0.6721311475409836
AND,补偿合理性,消极,9,0.375
AND,补偿合理性,中性,6,0.25
AND,补偿合理性,积极,9,0.375
AT,保障,消极,350,0.12755102040816327
AT,保障,中性,339,0.12354227405247814
AT,保障,积极,2055,0.7489067055393586
AT,信息安全性,消极,30,0.5357142857142857
AT,信息安全性,中性,14,0.25
AT,信息安全性,积极,12,0.21428571428571427
AT,响应及时性,消极,43,0.16412213740458015
AT,响应及时性,中性,13,0.04961832061068702
AT,响应及时性,积极,206,0.7862595419847328
AT,外观,消极,145,0.06666666666666667
AT,外观,中性,366,0.16827586206896553
AT,外观,积极,1664,0.7650574712643678
AT,外部,消极,393,0.10022953328232594
AT,外部,中性,718,0.18311655190002551
AT,外部,积极,2810,0.7166539148176485
AT,服务专业性,消极,297,0.13813953488372094
AT,服务专业性,中性,243,0.11302325581395349
AT,服务专业性,积极,1610,0.7488372093023256
AT,沟通有效性,消极,104,0.19366852886405958
AT,沟通有效性,中性,81,0.15083798882681565
AT,沟通有效性,积极,352,0.6554934823091247
AT,牌证,消极,69,0.8625
AT,牌证,中性,11,0.1375
AT,精细,消极,459,0.13296639629200463
AT,精细,中性,564,0.1633835457705678
AT,精细,积极,2429,0.7036500579374276
AT,耐久,消极,204,0.5012285012285013
AT,耐久,中性,63,0.1547911547911548
AT,耐久,积极,140,0.343980343980344
AT,舒适,消极,326,0.0927981781952747
AT,舒适,中性,1006,0.28636493025903786
AT,舒适,积极,2181,0.6208368915456874
AT,补偿合理性,消极,106,0.828125
AT,补偿合理性,中性,11,0.0859375
AT,补偿合理性,积极,11,0.0859375
BNL,保障,消极,338,0.10374462860650706
BNL,保障,中性,374,0.11479435236341314
BNL,保障,积极,2546,0.7814610190300798
BNL,信息安全性,消极,49,0.8596491228070176
BNL,信息安全性,中性,2,0.03508771929824561
BNL,信息安全性,积极,6,0.10526315789473684
BNL,响应及时性,消极,157,0.5130718954248366
BNL,响应及时性,中性,17,0.05555555555555555
BNL,响应及时性,积极,132,0.43137254901960786
BNL,外观,消极,230,0.12111637704054766
BNL,外观,中性,613,0.3228014744602422
BNL,外观,积极,1056,0.5560821484992101
BNL,外部,消极,449,0.1078031212484994
BNL,外部,中性,803,0.19279711884753903
BNL,外部,积极,2913,0.6993997599039616
BNL,服务专业性,消极,540,0.28662420382165604
BNL,服务专业性,中性,289,0.15339702760084925
BNL,服务专业性,积极,1055,0.5599787685774947
BNL,沟通有效性,消极,270,0.5252918287937743
BNL,沟通有效性,中性,68,0.13229571984435798
BNL,沟通有效性,积极,176,0.3424124513618677
BNL,牌证,消极,53,0.803030303030303
BNL,牌证,中性,9,0.13636363636363635
BNL,牌证,积极,4,0.06060606060606061
BNL,精细,消极,445,0.17228029423151375
BNL,精细,中性,466,0.18041037553232675
BNL,精细,积极,1672,0.6473093302361596
BNL,耐久,消极,235,0.4484732824427481
BNL,耐久,中性,71,0.13549618320610687
BNL,耐久,积极,218,0.41603053435114506
BNL,舒适,消极,288,0.06986899563318777
BNL,舒适,中性,1020,0.24745269286754004
BNL,舒适,积极,2814,0.6826783114992722
BNL,补偿合理性,消极,192,0.8495575221238938
BNL,补偿合理性,中性,20,0.08849557522123894
BNL,补偿合理性,积极,14,0.061946902654867256
GRN,保障,消极,221,0.08267863823419379
GRN,保障,中性,246,0.0920314253647587
GRN,保障,积极,2206,0.8252899364010475
GRN,信息安全性,消极,24,0.8571428571428571
GRN,信息安全性,中性,2,0.07142857142857142
GRN,信息安全性,积极,2,0.07142857142857142
GRN,响应及时性,消极,50,0.23696682464454977
GRN,响应及时性,中性,5,0.023696682464454975
GRN,响应及时性,积极,156,0.7393364928909952
GRN,外观,消极,178,0.04479114242576749
GRN,外观,中性,358,0.09008555611474585
GRN,外观,积极,3438,0.8651233014594867
GRN,外部,消极,258,0.09746883264072535
GRN,外部,中性,435,0.16433698526633925
GRN,外部,积极,1954,0.7381941820929354
GRN,服务专业性,消极,220,0.1460823373173971
GRN,服务专业性,中性,140,0.09296148738379814
GRN,服务专业性,积极,1146,0.7609561752988048
GRN,沟通有效性,消极,85,0.1650485436893204
GRN,沟通有效性,中性,47,0.0912621359223301
GRN,沟通有效性,积极,383,0.7436893203883496
GRN,牌证,消极,43,0.8775510204081632
GRN,牌证,中性,3,0.061224489795918366
GRN,牌证,积极,3,0.061224489795918366
GRN,精细,消极,472,0.12417784793475402
GRN,精细,中性,462,0.12154696132596685
GRN,精细,积极,2867,0.7542751907392792
GRN,耐久,消极,157,0.521594684385382
GRN,耐久,中性,29,0.09634551495016612
GRN,耐久,积极,115,0.38205980066445183
GRN,舒适,消极,152,0.06716747680070703
GRN,舒适,中性,482,0.2129916040653999
GRN,舒适,积极,1629,0.719840919133893
GRN,补偿合理性,消极,82,0.82
GRN,补偿合理性,中性,11,0.11
GRN,补偿合理性,积极,7,0.07
LN,保障,消极,372,0.1382899628252788
LN,保障,中性,418,0.1553903345724907
LN,保障,积极,1900,0.7063197026022305
LN,信息安全性,消极,63,0.7241379310344828
LN,信息安全性,中性,13,0.14942528735632185
LN,信息安全性,积极,11,0.12643678160919541
LN,响应及时性,消极,90,0.3225806451612903
LN,响应及时性,中性,22,0.07885304659498207
LN,响应及时性,积极,167,0.5985663082437276
LN,外观,消极,168,0.1295296838858905
LN,外观,中性,380,0.29298380878951424
LN,外观,积极,749,0.5774865073245952
LN,外部,消极,575,0.12039363484087102
LN,外部,中性,1180,0.24706867671691793
LN,外部,积极,3021,0.632537688442211
LN,服务专业性,消极,467,0.23084527928818585
LN,服务专业性,中性,278,0.13741967375185368
LN,服务专业性,积极,1278,0.6317350469599604
LN,沟通有效性,消极,178,0.3272058823529412
LN,沟通有效性,中性,77,0.14154411764705882
LN,沟通有效性,积极,289,0.53125
LN,牌证,消极,108,0.84375
LN,牌证,中性,17,0.1328125
LN,牌证,积极,3,0.0234375
LN,精细,消极,631,0.16060066174599136
LN,精细,中性,808,0.20565029269534232
LN,精细,积极,2490,0.6337490455586663
LN,耐久,消极,184,0.5317919075144508
LN,耐久,中性,55,0.15895953757225434
LN,耐久,积极,107,0.3092485549132948
LN,舒适,消极,468,0.11584158415841585
LN,舒适,中性,1377,0.34084158415841587
LN,舒适,积极,2195,0.5433168316831684
LN,补偿合理性,消极,91,0.7398373983739838
LN,补偿合理性,中性,18,0.14634146341463414
LN,补偿合理性,积极,14,0.11382113821138211
QPL,保障,消极,384,0.12419146183699871
QPL,保障,中性,423,0.13680465717981888
QPL,保障,积极,2285,0.7390038809831824
QPL,信息安全性,消极,21,0.6774193548387096
QPL,信息安全性,中性,5,0.16129032258064516
QPL,信息安全性,积极,5,0.16129032258064516
QPL,响应及时性,消极,94,0.5193370165745856
QPL,响应及时性,中性,11,0.06077348066298342
QPL,响应及时性,积极,76,0.4198895027624309
QPL,外观,消极,143,0.137104506232023
QPL,外观,中性,394,0.37775647171620325
QPL,外观,积极,506,0.4851390220517737
QPL,外部,消极,410,0.09453539312889093
QPL,外部,中性,1231,0.2838367535162555
QPL,外部,积极,2696,0.6216278533548536
QPL,服务专业性,消极,376,0.20368364030335862
QPL,服务专业性,中性,409,0.22156013001083424
QPL,服务专业性,积极,1061,0.5747562296858072
QPL,沟通有效性,消极,135,0.4078549848942598
QPL,沟通有效性,中性,72,0.2175226586102719
QPL,沟通有效性,积极,124,0.37462235649546827
QPL,牌证,消极,65,0.9154929577464789
QPL,牌证,中性,6,0.08450704225352113
QPL,精细,消极,637,0.16771985255397578
QPL,精细,中性,947,0.2493417588204318
QPL,精细,积极,2214,0.5829383886255924
QPL,耐久,消极,196,0.48635235732009924
QPL,耐久,中性,87,0.21588089330024815
QPL,耐久,积极,120,0.2977667493796526
QPL,舒适,消极,291,0.06991830850552619
QPL,舒适,中性,1258,0.30225852955309945
QPL,舒适,积极,2613,0.6278231619413743
QPL,补偿合理性,消极,92,0.7419354838709677
QPL,补偿合理性,中性,16,0.12903225806451613
QPL,补偿合理性,积极,16,0.12903225806451613
TB,保障,消极,252,0.07811531308121512
TB,保障,中性,262,0.08121512709237445
TB,保障,积极,2712,0.8406695598264105
TB,信息安全性,消极,29,0.7631578947368421
TB,信息安全性,中性,2,0.05263157894736842
TB,信息安全性,积极,7,0.18421052631578946
TB,响应及时性,消极,43,0.16731517509727625
TB,响应及时性,中性,3,0.011673151750972763
TB,响应及时性,积极,211,0.8210116731517509
TB,外观,消极,181,0.05924713584288052
TB,外观,中性,429,0.14042553191489363
TB,外观,积极,2445,0.8003273322422259
TB,外部,消极,277,0.08476132190942473
TB,外部,中性,595,0.18206854345165238
TB,外部,积极,2396,0.7331701346389229
TB,服务专业性,消极,258,0.14136986301369864
TB,服务专业性,中性,208,0.11397260273972602
TB,服务专业性,积极,1359,0.7446575342465753
TB,沟通有效性,消极,125,0.22935779816513763
TB,沟通有效性,中性,70,0.12844036697247707
TB,沟通有效性,积极,350,0.6422018348623854
TB,牌证,消极,39,0.8666666666666667
TB,牌证,中性,3,0.06666666666666667
TB,牌证,积极,3,0.06666666666666667
TB,精细,消极,376,0.11026392961876832
TB,精细,中性,315,0.09237536656891496
TB,精细,积极,2719,0.7973607038123167
TB,耐久,消极,59,0.271889400921659
TB,耐久,中性,20,0.09216589861751152
TB,耐久,积极,138,0.6359447004608295
TB,舒适,消极,219,0.07046332046332046
TB,舒适,中性,715,0.23005148005148005
TB,舒适,积极,2174,0.6994851994851995
TB,补偿合理性,消极,104,0.8455284552845529
TB,补偿合理性,中性,10,0.08130081300813008
TB,补偿合理性,积极,9,0.07317073170731707
